ID,cluster
39484,0
39508,0
39530,0
39545,0
39557,0
39611,0
39673,1
39708,0
39730,1
39738,1
39742,0
39753,0
39771,1
39786,1
39788,0
39823,1
39881,0
39904,1
39926,0
39936,0
39967,1
39973,1
39974,0
39978,1
39994,0
40066,1
40071,0
40096,1
40114,1
40130,1
40131,0
40138,0
40147,0
40164,0
40187,0
40196,0
40207,0
40228,0
40229,0
40236,0
40239,0
40298,0
40313,1
40319,3
40321,0
40324,0
40344,0
40346,0
40352,0
40369,0
40384,0
40399,1
40415,1
40445,0
40450,0
40462,0
40481,1
40486,0
40517,1
40529,0
40536,0
40547,0
40551,0
40559,1
40572,0
40615,0
40684,0
40688,1
40746,1
40751,0
40792,0
40796,1
40810,0
40812,0
40838,0
40841,0
40863,1
40877,0
40898,0
40906,1
40954,0
40980,3
40987,1
40988,1
41004,0
41011,0
41031,0
41039,0
41073,0
41101,0
41103,0
41136,0
41147,2
41167,0
41181,0
41183,0
41206,3
41230,0
41231,0
41238,0
41253,1
41269,0
41288,1
41294,0
41302,0
41321,0
41337,0
41352,1
41388,1
41392,0
41395,0
41405,1
41449,0
41463,1
41482,1
41486,0
41508,0
41566,0
41640,1
41670,1
41676,0
41702,1
41720,0
41768,0
41838,0
41877,1
41901,0
41925,1
41926,1
41943,0
41962,0
41987,1
41991,0
41998,0
42023,0
42027,1
42046,1
42054,1
42055,0
42086,0
42109,0
42118,1
42141,1
42155,0
42165,0
42185,0
42191,0
42194,0
42207,1
42297,1
42308,0
42348,1
42362,0
42365,1
42377,0
42398,0
42422,0
42442,1
42455,1
42475,0
42491,0
42503,0
42552,0
42562,1
42570,0
42571,0
42580,0
42590,0
42601,0
42615,0
42626,0
42635,1
42647,0
42672,1
42678,0
42683,0
42736,0
42758,1
42792,0
42796,0
42823,0
42826,0
42828,1
42853,1
42859,3
42861,0
42884,0
42889,0
42890,0
42908,0
42919,0
42922,0
42926,0
42939,0
42951,0
42958,0
42970,1
43016,0
43065,0
43076,1
43081,1
43089,1
43117,0
43128,0
43145,0
43212,0
43223,1
43233,0
43249,1
43328,0
43333,0
43380,0
43431,0
43508,1
43527,1
43554,0
43564,0
43601,0
43650,3
43658,1
43712,1
43713,0
43716,0
43720,0
43771,0
43777,3
43786,0
43811,1
43824,0
43825,1
43827,0
43842,0
43872,1
43904,1
43913,0
43947,1
43981,1
43993,0
44002,0
44007,1
44017,0
44019,0
44021,3
44031,0
44057,0
44097,0
44101,1
44104,1
44169,0
44180,0
44190,1
44199,0
44206,0
44226,0
44260,0
44277,0
44336,1
44395,0
44396,0
44401,0
44421,0
44452,0
44491,0
44507,0
44532,1
44553,0
44555,1
44565,0
44571,0
44593,1
44625,0
44641,0
44646,0
44727,3
44744,0
44751,1
44784,1
44822,0
44831,0
44832,0
44878,0
44909,0
44965,0
44969,0
44970,0
44982,0
44996,0
45017,3
45033,0
45035,3
45043,1
45063,1
45066,3
45067,0
45068,0
45105,0
45114,0
45162,0
45163,1
45190,0
45224,0
45234,1
45244,0
45271,0
45273,0
45276,0
45295,0
45312,0
45368,1
45418,0
45452,0
45511,1
45533,0
45611,0
45616,0
45679,0
45684,0
45699,1
45704,0
45738,3
45742,0
45785,0
45823,0
45868,0
45889,1
45932,0
45934,1
45948,1
45952,1
45969,0
45974,1
45998,0
46002,0
46025,0
46033,0
46069,3
46072,0
46078,0
46079,1
46111,0
46159,1
46174,0
46177,1
46186,0
46203,0
46205,0
46249,1
46254,0
46281,1
46300,0
46310,0
46311,0
46377,0
46407,0
46410,0
46414,0
46422,3
46438,0
46474,1
46500,0
46503,0
46561,0
46607,0
